,L1,L2
1993-12-08,1.0179795203934772e-06,1.8148339554896502e-05
1993-12-09,1.0066044902130375e-06,1.8042940204465926e-05
1993-12-10,9.877185960176318e-07,1.7986284560802924e-05
1993-12-13,1.0662347519217074e-06,1.8890891583707183e-05
1993-12-14,1.0898998295986863e-06,1.8725314687786264e-05
1993-12-15,2.351653057128779e-06,3.722399821160832e-05
1993-12-16,2.275150598780771e-06,3.693918665427008e-05
1993-12-17,1.0963886760267523e-06,1.8764497267100654e-05
1993-12-20,1.1114585524131974e-06,1.8855304108734544e-05
1993-12-21,1.1432806903437425e-06,1.900850349705329e-05
1993-12-22,1.662559456275979e-06,2.390076049061114e-05
1993-12-23,2.015366383332212e-06,2.658078741457613e-05
1993-12-27,2.015366383332212e-06,2.658078741457613e-05
1993-12-28,1.3896203487017212e-06,2.1028935855058514e-05
1993-12-29,1.4316935849931262e-06,2.1163710169477777e-05
1993-12-30,1.2890926371948658e-06,2.0294776217144037e-05
1993-12-31,1.2890926371948658e-06,2.0294776217144037e-05
1994-01-03,1.2890926371948658e-06,2.0294776217144037e-05
1994-01-04,1.1691749161323392e-06,1.7948259613122634e-05
1994-01-05,1.1900498614929312e-06,1.9304733095595442e-05
1994-01-06,1.1291943708691914e-06,1.8612103733176373e-05
1994-01-07,1.5210656833882844e-06,2.6108527483855055e-05
1994-01-10,1.5210656833882844e-06,2.6108527483855055e-05
